norm_description,assigned_code,raw_tb_description,basis,review_flag,note
accum dep. motor vehicle,B35160,mv accum-depr open balance,AMOUNT_MATCH+NAME,,
accum depreciation - equipment,B35240,equip accum-depr,AMOUNT_MATCH+NAME,,
accum depreciation - f&f,B35200,furn accum-depreciation,AMOUNT_MATCH+NAME,,
accum depreciation - leasehold improv,B35370,leased prem-bldg depr. prov.,AMOUNT_MATCH+NAME,,
advertising & pr - general,I25203,bus.advert-general,AMOUNT_MATCH+NAME,,
bank charges,I25360,bank charges,AMOUNT_MATCH+NAME,,
cash,B60190,petty cash - office,AMOUNT_MATCH+NAME,,
communication- courier service cost,I25236,courier services cost,AMOUNT_MATCH+NAME,,
deferred tax asset,B35420,deferred tax,AMOUNT_MATCH+NAME,,
depreciation,I25265,equip-depreciation,AMOUNT_MATCH,REVIEW,Generic 'Depreciation' matched to Equip-Depreciation
depreciation - f&f,I25264,furn-depreciation,AMOUNT_MATCH+NAME,,
depreciation - mv,I25261,mv-depreciation,AMOUNT_MATCH+NAME,,
emolument pack - group life,I25009,co.contrib-life assurance,AMOUNT_MATCH+NAME,,
emolument pack - medical contr,I25003,emol.pack-med.contribut.,AMOUNT_MATCH+NAME,,
emolument pack - training external/internal,I25026,training external,AMOUNT_MATCH+NAME,,
emoluments - bonus & 13th month,I25019,bonuses & 13th cheque,AMOUNT_MATCH+NAME,,
entertainment: conference given by us,I25192,conference given by us,AMOUNT_MATCH+NAME,,
entertainment: end of the year party,I25296,entertainment dinner,AMOUNT_MATCH+NAME,,
fee income,I10060,actuarial - once-off,AMOUNT_MATCH,REVIEW,Raw TB has a single revenue account; the final pack splits Fee Income and M/C-Admin Fees. Fee Income keeps I10060
fixed assets - equipment,B35210,equip-cost open balance,AMOUNT_MATCH+NAME,,
fixed assets - furniture & fittings,B35170,furn-cost open balance,AMOUNT_MATCH+NAME,,
fixed assets - leasehold improvement,B35350,leased prem-improvements,AMOUNT_MATCH+NAME,,
fixed assets - motor vehicles,B35140,mv-cost opening balance,AMOUNT_MATCH+NAME,,
general expenses,I25367,summary:gen exp other,AMOUNT_MATCH+NAME,,
income tax payable,B75120,tax provision-other,AMOUNT_MATCH+NAME,,
insurance - directors & officers,I25402,directors and officers insurance,AMOUNT_MATCH+NAME,,
insurance - p.i.,I25401,insurance-p.i.,AMOUNT_MATCH+NAME,,
inter company expenses,I25034,intergroup management fee,AMOUNT_MATCH+NAME,,
intercompany,B55570,due to/from zaac,AMOUNT_MATCH+NAME,,
investment in subsidiary- stonebridge,B65270,investment in subsidiary co,AMOUNT_MATCH+NAME,,Replaces the synthetic NG-STONEBRIDGE code with the client's real BC code
it - cost hardware maintenace,I25425,hardware maintenance,AMOUNT_MATCH+NAME,,
it cost - toner,I25421,toner,AMOUNT_MATCH+NAME,,
motor vehicle expenses,I25454,mv-running costs,AMOUNT_MATCH+NAME,,
other income,I10123,other income,AMOUNT_MATCH+NAME,,
paye - payable,B70230,paymaster general (paye,AMOUNT_MATCH+NAME,,
pension - payable ( employer/ee),B70140,zamara pension scheme,AMOUNT_MATCH+NAME,,
premises - electricity,I25072,prem-electricity,AMOUNT_MATCH+NAME,,
prepayment - insurance,B55400,drs prepaid - insurance other,AMOUNT_MATCH+NAME,,
prepayment - rent,B55410,drs prepaid - other,AMOUNT_MATCH,REVIEW,Rent prepayment matched to 'Drs Prepaid - Other'; the pack also has a separate 'Prepayment - Others'
printing & stationery,I25111,printing-general,AMOUNT_MATCH+NAME,,
prof. fees - audit fees,I25141,prof.fees-audit fees,AMOUNT_MATCH+NAME,,
prof. fees - legal,I25144,prof.fees-legal,AMOUNT_MATCH+NAME,,
prof. fees - others,I25145,prof.fees-other,AMOUNT_MATCH+NAME,,
prof. fees - tax,I25143,prof.fees-legal tax deduct,AMOUNT_MATCH+NAME,,
provisions - others,B70281,other provisions,AMOUNT_MATCH+NAME,,
provisons - bonus/13th month,B80110,bonus(general provision),AMOUNT_MATCH+NAME,,
receipts,B55110,other receivable,AMOUNT_MATCH,REVIEW,'Receipts' matched to 'Other Receivable' on amount only
retained income,B15110,distr.reser-retained inc,AMOUNT_MATCH+NAME,,
share capital,B10120,ord.share capital,AMOUNT_MATCH+NAME,,
taxation expense,I30001,other tax expenses,AMOUNT_MATCH+NAME,,
trade receivables,B55480,drs-income control,AMOUNT_MATCH+NAME,,
travel airfare fares local,I25182,trav. accom.,AMOUNT_MATCH,REVIEW,Local airfare matched to 'Trav. Accom.' on amount only
travel airfare fares overseas,I25185,o/seas trav-air fares,AMOUNT_MATCH+NAME,,
travel exps : car hire sundry,I25183,trav. sundry exp.,AMOUNT_MATCH+NAME,,
uba current account,B60250,uba current account,AMOUNT_MATCH+NAME,,
uba dom account,B60260,uba dom account,AMOUNT_MATCH+NAME,,
vat payable,B80170,vat control account,AMOUNT_MATCH+NAME,,
wht assets (credit notes),B70190,withholding tax 5 %,AMOUNT_MATCH+NAME,,
